,lon,lat,idS,type,origin,clusterFinal
163,12.460228,41.833382,A1Q0,corto,True,112.0
164,12.48633,41.878595,A1Q0,corto,True,123.0
165,12.485223,41.878091,A1Q0,corto,True,123.0
166,12.481916,41.888954,A1Q0,corto,True,73.0
167,12.481941,41.888856,A1Q0,corto,True,73.0
168,12.47931,41.878848,A1R8,medio,True,101.0
169,12.480912,41.907478,A1R8,medio,True,14.0
170,12.499456,41.897272,A1R8,corto,True,121.0
171,12.515926,41.880246,A1R8,medio,True,77.0
172,12.519365,41.872079,A1R8,medio,True,115.0
173,12.509784,41.886494,A1R8,corto,True,61.0
174,12.518444,41.871938,A1R8,medio,True,18.0
175,12.504672,41.863102,A1R8,corto,True,37.0
176,12.467057,41.830107,A1R8,corto,True,75.0
177,12.456042,41.825655,A1R8,largo,True,120.0
178,12.497738,41.861864,A1R8,largo,True,37.0
179,12.46423,41.915772,A1R8,medio,True,21.0
180,12.463492,41.898302,A1R8,corto,True,155.0
181,12.459533,41.872036,A1R8,corto,True,146.0
182,12.455751,41.872984,A1R8,corto,True,146.0
183,12.461219,41.888383,A1X5,corto,True,23.0
184,12.484488,41.866794,A1X5,corto,True,105.0
185,12.492869,41.86703,A1X5,largo,True,175.0
186,12.470433,41.828593,A1X5,corto,True,104.0
187,12.467533,41.830242,A1X5,corto,True,75.0
188,12.465793,41.872787,A1X5,corto,True,163.0
189,12.457978,41.873262,A1X5,corto,True,146.0
190,12.467788,41.875518,A1X5,corto,True,80.0
191,12.466084,41.873212,A1X5,corto,True,163.0
192,12.470475,41.884724,A1X5,corto,True,88.0
193,12.469045,41.891844,A1X5,corto,True,107.0
194,12.470828,41.885144,A1X5,corto,True,88.0
195,12.527368,41.871481,A1X5,largo,True,74.0
196,12.478477,41.826137,A1Y1,corto,True,145.0
197,12.478956,41.852761,A1Y1,medio,True,82.0
198,12.484065,41.873233,A1Y1,largo,True,70.0
199,12.506776,41.890295,A2D3,corto,True,76.0
200,12.510006,41.881956,A2D3,corto,True,0.0
201,12.506825,41.890407,A2D3,corto,True,76.0
202,12.510085,41.88202,A2D3,corto,True,0.0
203,12.503739,41.881231,A2D3,corto,True,162.0
204,12.509806,41.882033,A2D3,corto,True,0.0
205,12.519805,41.876306,A2D3,corto,True,178.0
206,12.526573,41.872827,A2D3,corto,True,74.0
207,12.520648,41.872972,A2D3,corto,True,115.0
208,12.509977,41.882264,A2D3,corto,True,0.0
209,12.454867,41.910342,A2D3,corto,True,12.0
210,12.441901,41.902724,A2D3,medio,True,133.0
211,12.461474,41.919151,A2D3,medio,True,21.0
212,12.474448,41.914938,A2D3,largo,True,34.0
213,12.475973,41.832959,A2D3,corto,True,119.0
214,12.474476,41.832646,A2D3,corto,True,104.0
215,12.498952,41.901972,A2D3,corto,True,165.0
216,12.51342,41.892647,A2D3,corto,True,25.0
217,12.524778,41.886291,A2E3,corto,True,56.0
218,12.509603,41.876181,A2E3,corto,True,85.0
219,12.512811,41.882972,A2E3,corto,True,64.0
220,12.509533,41.875419,A2E3,corto,True,85.0
221,12.518446,41.87136,A2E3,corto,True,18.0
222,12.503377,41.90831,A2E3,medio,True,118.0
223,12.520703,41.933352,A2E3,medio,True,55.0
224,12.511449,41.87447,A2E3,largo,True,188.0
225,12.454623,41.881651,A2E3,corto,True,186.0
226,12.481619,41.926915,A2E3,medio,True,71.0
227,12.503001,41.90191,A2E3,corto,True,36.0
228,12.508885,41.904647,A2E3,corto,True,92.0
229,12.502584,41.902663,A2E3,corto,True,36.0
230,12.508916,41.904709,A2E3,corto,True,92.0
231,12.502872,41.902141,A2E3,corto,True,36.0
232,12.466874,41.830002,A2H3,medio,True,75.0
233,12.466125,41.865188,A2H3,corto,True,174.0
234,12.465079,41.86513,A2H3,corto,True,174.0
235,12.457783,41.873438,A2H3,medio,True,146.0
236,12.506901,41.890333,A2M3,corto,True,76.0
237,12.517308,41.875404,A2M3,corto,True,167.0
238,12.51961,41.869264,A2M3,corto,True,182.0
239,12.45712,41.906129,A2M3,largo,True,113.0
240,12.506337,41.913153,A2M3,medio,True,22.0
241,12.48684,41.897076,A2M3,medio,True,176.0
242,12.505294,41.912141,A2M3,corto,True,22.0
243,12.470987,41.909403,A2M3,medio,True,131.0
244,12.44604,41.906571,A2M3,medio,True,133.0
245,12.469793,41.907122,A2M3,corto,True,47.0
246,12.481405,41.902283,A2M3,largo,True,84.0
247,12.462551,41.866303,A2M3,medio,True,174.0
248,12.464474,41.885864,A2N8,corto,True,42.0
249,12.4727,41.895422,A2N8,medio,True,48.0
250,12.443759,41.912454,A2N8,corto,True,102.0
251,12.447327,41.909057,A2N8,corto,True,49.0
252,12.450049,41.909198,A2N8,corto,True,49.0
253,12.454982,41.919358,A2N8,corto,True,89.0
254,12.474679,41.915025,A2N8,corto,True,34.0
255,12.464568,41.925633,A2N8,corto,True,45.0
256,12.46582,41.872776,A2N8,corto,True,163.0
257,12.453472,41.873856,A2N8,medio,True,15.0
258,12.454751,41.896369,A2N8,corto,True,60.0
259,12.466288,41.896822,A2N8,corto,True,155.0
260,12.468558,41.898172,A2N8,corto,True,155.0
261,12.471699,41.897734,A2N8,corto,True,48.0
262,12.465789,41.949232,A2O0,corto,True,32.0
263,12.469245,41.919057,A2O0,corto,True,132.0
264,12.45567,41.91737,A2O0,corto,True,124.0
265,12.46474,41.908803,A2O0,medio,True,160.0
266,12.509617,41.903725,A2O7,corto,True,92.0
267,12.492484,41.89529,A2O7,medio,True,44.0
268,12.465787,41.87674,A2O7,medio,True,4.0
269,12.45404,41.880682,A2O7,corto,True,186.0
270,12.454587,41.875912,A2O7,corto,True,15.0
271,12.454079,41.880679,A2O7,corto,True,186.0
272,12.464193,41.916168,A2O7,corto,True,21.0
273,12.466828,41.908209,A2P1,corto,True,160.0
274,12.454454,41.896524,A2P1,largo,True,60.0
275,12.466419,41.872731,A2P1,corto,True,163.0
276,12.485917,41.867254,A2P1,corto,True,105.0
277,12.516372,41.929327,A2P1,corto,True,27.0
278,12.516354,41.92465,A2P1,corto,True,67.0
279,12.521169,41.909546,A2P1,medio,True,139.0
280,12.493609,41.895016,A2P1,largo,True,44.0
281,12.483097,41.904921,A2P1,corto,True,143.0
282,12.491283,41.894714,A2P1,corto,True,44.0
283,12.50235,41.895674,A2P1,corto,True,29.0
284,12.506317,41.894369,A2P1,corto,True,53.0
285,12.522913,41.879964,A2Q0,corto,True,177.0
286,12.517539,41.879599,A2Q0,corto,True,77.0
287,12.504393,41.880955,A2Q0,corto,True,162.0
288,12.506607,41.874742,A2Q0,corto,True,38.0
